ZoneNumber,day_of_week,hour_of_day,avg_active_cars
0301,1,8,28.25
0301,1,9,24.25
0301,1,10,25.75
0301,1,11,23.5
0301,1,12,26
0301,1,13,26.5
0301,1,14,22.75
0301,1,15,20.75
0301,1,16,16
0301,1,17,14.25
0301,1,18,12.75
0301,1,19,7.5
0301,1,20,4.25
0301,2,8,20.25
0301,2,9,26.5
0301,2,10,30
0301,2,11,31.25
0301,2,12,31.25
0301,2,13,27
0301,2,14,20
0301,2,15,17.75
0301,2,16,13.25
0301,2,17,8.5
0301,2,18,7.75
0301,2,19,5.25
0301,2,20,3.5
0301,3,8,29.25
0301,3,9,31.25
0301,3,10,37
0301,3,11,30.75
0301,3,12,31.5
0301,3,13,28.25
0301,3,14,21.75
0301,3,15,19.75
0301,3,16,13.5
0301,3,17,12.75
0301,3,18,10
0301,3,19,5.5
0301,3,20,2.67
0301,4,8,25.5
0301,4,9,25.5
0301,4,10,29.75
0301,4,11,34
0301,4,12,30.5
0301,4,13,32
0301,4,14,23.25
0301,4,15,24.25
0301,4,16,18.25
0301,4,17,16.25
0301,4,18,9
0301,4,19,5.5
0301,4,20,3
0301,5,8,21.8
0301,5,9,25
0301,5,10,29.8
0301,5,11,28.2
0301,5,12,32.8
0301,5,13,22.6
0301,5,14,18.8
0301,5,15,15.6
0301,5,16,16.2
0301,5,17,12.8
0301,5,18,9.4
0301,5,19,7.2
0301,5,20,4.8
0301,6,8,6.8
0301,6,9,7.4
0301,6,10,10
0301,6,11,11
0301,6,12,11.2
0301,6,13,12
0301,6,14,13
0301,6,15,11.8
0301,6,16,9.8
0301,6,17,8.6
0301,6,18,7.4
0301,6,19,4.6
0301,6,20,3
0301,7,8,7.2
0301,7,9,7.6
0301,7,10,8.4
0301,7,11,10.4
0301,7,12,10
0301,7,13,10
0301,7,14,12.8
0301,7,15,10.2
0301,7,16,9.4
0301,7,17,7.6
0301,7,18,5.2
0301,7,19,2.75
0301,7,20,1.33
0302,1,8,3
0302,1,9,5
0302,1,10,4.75
0302,1,11,4.5
0302,1,12,5.5
0302,1,13,4.25
0302,1,14,3.75
0302,1,15,4.5
0302,1,16,3.75
0302,1,17,1.75
0302,1,18,2
0302,1,19,1.67
0302,1,20,1
0302,2,8,3.5
0302,2,9,3.5
0302,2,10,5
0302,2,11,5.75
0302,2,12,5.25
0302,2,13,6
0302,2,14,4
0302,2,15,3.5
0302,2,16,2.25
0302,2,17,2.33
0302,2,18,2
0302,2,19,1.25
0302,3,8,3.75
0302,3,9,3.75
0302,3,10,4.75
0302,3,11,5.75
0302,3,12,6
0302,3,13,4.5
0302,3,14,3.25
0302,3,15,2.5
0302,3,16,4
0302,3,17,1.67
0302,3,18,2
0302,3,19,1.67
0302,3,20,1.25
0302,4,8,4.67
0302,4,9,3.75
0302,4,10,6
0302,4,11,5
0302,4,12,6.75
0302,4,13,4.75
0302,4,14,5.5
0302,4,15,4.25
0302,4,16,4
0302,4,17,2
0302,4,18,3.5
0302,4,19,2.5
0302,4,20,2.5
0302,5,8,4.6
0302,5,9,5.6
0302,5,10,5
0302,5,11,5.6
